Action_Theme,Broad_Action,Habitat,Species,Method,Description,Source,Link
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Peat dams,"Wide track machine 12 feet wide with load bearing pressure <2psi or no more than 1.6 lb inch-2. €30 per dam installed. 1m deep, 50 cm above bog surface and 50 cm wider than drain width of 1-2 m. Using machine and peat.",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Plastic dams,"Installed by hand, €90 per dam installed, 1m deep, <1m wide. Corrugated sheets of 5mm HDPE* interlocking piling 25cm wide.",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Partial infilling of drain,"Done by hand, €15 per linear metre using local peat infill, variable length, 1m deep 1m wide, requires humified peat.",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Tree clearance,"Site preparation for drain blocking. Chainsaw crew of three and thumb and grab machine to remove cut trees. €1,200 per day. Clear material away from drains and acess routes",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Removal of conifer plantation,Clear felling using specialist harvester machine or chain saw. Harvester costs €1200-€1500 per ha. Chainsaw €900-1200 per ha. ,Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Barrier dam,"Installed with a machine. €25-€30 per linear metre. Tench 1.5 m deep and 0.5m wide, filled with peat. Finished height 1m above bog surface and convered with living bog vegetation or scaw. Materials include humified peat and machine.",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Weir,"Constructed from 8x4' steel sheet, 6mm thick, seams welded. Finished structure coated in galvanised. €3,500. Materials include an 8x4' steel sheet, 6mm thick. ",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Sphagnum transfer inoculation,"Done by hand, €1,325 per ha. Hectare of bare peat inoculated. Materials needed include live Sphagnummoss from a donor site and straw. ",Peatlands & Climate Action Plan 2030.,https://irishuplandsforum.org/wp-content/uploads/2021/04/Peatlands-Climate-Action-Plan-2030-Compressed.pdf
Habitat Creation ,Create/Improve pond habitats,All,All,Create new pond habitats.,"Full guidance see The Irish Pond Manual. Initial steps incl. Legal check (if planning is required), decide what the main, and secondary uses of the pond will be, identify a site (ensure availbility of unpolluted water), make sure thesite has no existing wildlife or archaeological interest, check that the project is not constrained by services, prepare a design for the pond, dig trial holes, plan the pond stages.",A Guide to the Creation and Management of Ponds,https://actionforbiodiversity.ie/app/uploads/2024/06/Irish-Pond-Manual.pdf
Habitat Creation ,Create/Improve pond habitats,All,All,Create a pond complex,"Pond complexes are better than one single large pond. A pond complex includes small seasonal ponds, large deep pond, shallow pond and large deep ponds.",A Guide to the Creation and Management of Ponds,https://actionforbiodiversity.ie/app/uploads/2024/06/Irish-Pond-Manual.pdf
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Wetlands,Flora,Monitor and remove invasive species from ponds,See A Guide to the Creation and Management of Ponds for a full description of plants that are non-native to Irish ponds. ,A Guide to the Creation and Management of Ponds,https://actionforbiodiversity.ie/app/uploads/2024/06/Irish-Pond-Manual.pdf
Habitat Creation ,Create/Improve pond habitats,All,All,Avoid planting ponds up wherever possible.,Species will often find their own way to the pond. If planting is necessary for aesthetic reasons see guidance in 'A Guide to the Creation and Management of Ponds',A Guide to the Creation and Management of Ponds,https://actionforbiodiversity.ie/app/uploads/2024/06/Irish-Pond-Manual.pdf
Restoration,Restore hedgerows around the site to improve ecological connectivity ,Grassland,All,Plant hedgerows,"Drainage should be considered, a bank or ditch may be desirable. Leave sufficient width for the established hedge (2m), young plants should be closely spaced (50cm max) and should be planted on a herringbone/zigzag line, not a straight line. If possible, linking up with existing hedges to provide the most effective wildlife corridor. Use good quality, native plants, already represented in hedgerows in the area. Crann can advice on locally sourced plants. New growth must be protected from weed competition until it's established. Young hedgerows must be protected from browsing by livestock fences at least 1m away from the hedge on each site. The young plants will need some clipping to encourage a good shape. ",Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Restoration,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,Cut hedgerows in a friendly manner. ,"Hedges should be cut while they are dormant from the beginning of September to the end of Februaru. Hedges should be cut in an A-shaped profile, with a busy top for maximum protection from the wind. Overgrown hedges may be restored by coppicing selective cutting at ground level to promote bushy regrowth. ",Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Restoration,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,Close gaps in hedgerows,"Hedge-laying involves part cutting through of selected stems, bending them over at an angle of 70-80 degrees and securing the stems. This is recommended for hedge rejuvenation and stockproofing. Gaps in hedgerows that cannot be closed by laying should be planted with hawthorn quicks, blackthorn or other suitable native species at not more than 30cm spacing in prepared ground. The young plants should be cut back to half their height after planting to promote growth. ",Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Restoration,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,"Do not apply herbicides, pesticides or fertilisers",Within 1.5 m of a hedgerow as this leads to nutrient enrichment that can advaasrely affect biodiversity,Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Restoration,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,Fencing wire must not be attached to hedgerow trees and shrubs,Avoid placing fencing wire on trees or shrubs within the hedgerow.,Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Restoration,Manage hedgerows in a biodiversity-friendly manner,Grassland,All,Manage hedge trimmings,"Hedge trimmings should be piled in a non-intrusive manner to provide habitat. If hedge trimmings are to be removed or burned, this must be done immediately after cutting.",Conserving Hedgerows. ,http://actionforbiodiversity.ie/app/uploads/2023/07/conserving_hedgerows_2mb.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Epiphytes, ground vegetation, ground-dwelling invertebrates",Maintenance/retention of forest cover.,"Continuous cover forestry, where a canopy is maintained throughout the lifetime of commercial forests, with ongoing and small scale harvesting of individual trees and groups of trees should be practiced more widely in Ireland. Where this is not possible or practical, patches of mature trees retained after clearfelling may serve as resevoirs for such species, ensuring that they do not go entirely extinct on the site. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Birds, epiphytes, ground vegetation, ground-dwelling invertebrates",Diversity of age structure. ,"In areas being managed by clearfelling, staggering harvesting of large, contiguous blocks so that a mosaic of widely different age classes develops will maximise the diversity of forest blocks",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Birds, epiphytes, ground vegetation, ground-dwelling invertebrates",Diversity of vegetation structure,"The structural requirements of different species and groups are diverse, so providing a wide range of vegetation structures within a stand will tend to maximise the number of species it can support. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Birds, epiphytes, ground vegetation, ground-dwelling invertebrates",Native broadleaved species,"Diversity and abundance of broadleaved species in the canopy, understorey and shrub layer, whether derived from planted stock or from natural regeneration were found to benefit several taxa.",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Birds, Lower trunk epiphytes, ground vegetation",Grazing management,"In highly grazed forests, increasing light penetration will not be enough to ensure establishment of native trees and shubs, and an increase in field layer cover.",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,"Ground fauna, Epiphytes",Proximity to old woodland and conversion to native species ,"Where plantations have been established on or in close proximity to historical or existing areas of old woodland, this may provide an increased chance for some forest specialists with limited distributions or poor abilities to colonise. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,Ground vegetation ,Deadwood,"Deadwood is important for many forest species, particularly non-vascular plants and fungi which use it as a substrate. The positive effect of deadwood on ground vegetation depends to a large extent on this resource being available in conjunction with optimal light level so measures to increase availability of deadwood should try to ensure that it is provided in a range of conditions from light-exposed to shaded.",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Plantation forestry,Birds,Nest sites,"In plantations lacking ecologicallt mature (i.e., commercially over-mature) or standing dead trees, lack of nest sites for hole-nesting birds can be addressed in the short term by providing nest boxes, longer term by letting over mature trees be retained. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Mixed species plantations,"Birds, epiphytes, ground-dwelling invertebrates",Native species,"Mixes planted for biodiversity should, wherever possible, include at least one native tree species.",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Mixed species plantations,"Epiphytes, ground vegetation, ground-dwelling invertebrates",Ecological compatibility,"If mixes are to be used as part of a biodiversity enhancement strategy, they should be comprised of species that are compatible with one another to increase the chance of the native element successfully exerting an influence on the commercial conifer element.",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Mixed species plantations,"Birds, epiphytes, ground-dwelling invertebrates",Favour native element,"Wherever the native element of a mix is at a competitive disadvantage to the more commercial element, mixes should be managed to prevent the native element being excluded from the canopy and eventually shaded out altogether. Such management might incorporate strategies such as strategic thinning around native trees, aggregating planting of natives to reduce competition with surrounding commercial species. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Native woodlands,"Birds, epiphytes, ground vegetation, ground-dwelling invertebrates",Grazing and vegetation structure,"Because light is a much less limiting factor in native woodlands than in plantations, grazing is likely to be even more important in terms of the influence it has on understorey canopy, shrubs and other vegetation layers. Heavy grazing may limit the development of understorey vegetation but in the open canopy of native woodlands, one or more understore vegetation layers may become dominant. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Native woodlands,"Birds, epiphytes, ground vegetation, invertebrates",Deadwood,"This has been found to be one of the most important factors influencing temperate forest biodiversity, with more forest specialist species depending on deadwood than any other forest-related resource. Most native woodlands have very depleted deadwood resources compared to long-established forests in Europe. Management to improve deadwood resources should aim to increase the abundance and diversity of deadwood, particularly of large diameter classes of deadwood in a variety of decay states. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Native woodlands,"Birds, epiphytes, ground vegetation and invertebrates",Conservation and restoration of native woodland,"All native woodland patches should be considered potentially worth of conservation, regardless of their size. Wherever possible existing native woodlands should be extended and, where appropriate, improved. Conversion and modification of existing plantations to become more similar in composition and character to native woodlands will also enhance Ireland's forest biodiversity. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage in a positive way for native species,Native woodlands,"Epiphytes, ground vegetation, ground-dwelling invertebrates",Native woodland diversity,"They found that the species assemblages supported by ash and oak dominated woodlands were different for several taxa. In order to ensure the effective conservation of native woodland biodiversity in Ireland, all types of woodland native to Ireland should be conserved and especially for rarer woodland types, extended. ",ForestBIO: Management of biodiversity in a range of forest types. ,https://www.ucc.ie/en/media/research/planforbio/pdfs/FORESTBIOFinalProjectReport.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Provide butterfly-friendly foodplant plants,"Grow ivy which is an autumn food source for butterflies, ",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Provide caterpillar food plants,"Plant certain plant speceis depending on which butterflies are local to the area - info on what species can be found where, and their preferred catipillar foodplant on the NBDC",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Leave areas of Nettles to grow wide,"Nettles are one of the most popular plants for caterpillars and many species feed on them. The Peacock, Red Admiral, Comma, Painted Lady and Small Tortoiseshell all feed on Nettle during the caterpillar stage. Around 18 moth species also feed on nettle in Ireland. Nettles may need to be cut back, and caterpillars prefer to feed on new growth. ",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Allow other species of grass to grow.,"There are many species of butterflies in Ireland that feed on grasses during the caterpillar stage, but over-relying on one species, or a narrow range of grasses, will limit butterflies. Meadow Brown, Ringlet, Small Heath, and Speckled Wood all feed on grasses. Perennial Rye Grass provides limited to no support for biodiversity - so should be avoided.",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Provide roosting habitats for butterflies,"Butterflies roost on the understide of leaves, in long grass, rock crevices or similar shelted places. ",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Provide overwintering habitats for butterflies,"The majority of butterflies will overwinter in the caterpillar stage. Habitats needed for butterflies overwintering in one of their immature stages are: leaf litter, thick/uncut vegetation, log piles.",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Leave an area of uncut grass all year round.,Uncut grass provides shelter for butterflies in diapause and pupating and food for caterpillars that feed on grass. ,Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Create a short-flowering meadow.,"Cut and lift every 4-6 weeks starting in mid-April. When cutting at the end of September, leave some patches uncut as they will provide refuge for caterpillars and eggs.",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Create a long-flowering meadow.,"Cut once a year in September, giving wildflowers a chance to drop their seeds in August. This can take a few years to fully establish and can look a bit messy at times, but over time as the soil fertility reduces, a rich variety of plants will appear. When cutting at the end of September, leave some patches uncut as they will provide refuge for caterpillars and eggs.",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Manage hedgerows for butterflies,"Irish hedgerow species are preferred, including hawthorn, blackthorn, buckthorn, holly & ivy. Multiple species hedgerows are preferred. Long, overhanging flowering hawthron hedges, with a mixture of trees and ivy are wonderful for biodiversity. Cut hedgerows as little as possible. Allow hedgerows to grow as tall as possible. ",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage areas in a pollinator-friendly manner and report to the AIPP,Grassland,Butterflies,Allow plants to grow on walls and fences to provide resources for butterflies,"Native species that can be trained to a wall or fence that will encourage butterflies in your garden, including dog rose, ivy, honeysuckle (only Lonicera periclymenum is native to Ireland).",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Grassland,Butterflies,Encourage aphid predators.,"Encourage aphid predators such as ladybirds, ground beetles, hoverflies, and earwigs by managing in a biodiversity-friendly way. ",Gardening for Butterflies - The National Biodiversity Data Centre,http://actionforbiodiversity.ie/app/uploads/2023/08/Rewilding-Your-Garden-WEB.pdf
Management,Manage in a positive way for native species,Scrub,All,"Increase the extent of scrub communities, through natural regeneration, planting and layering, and protection from browsing. ","Natural regeneration uses a ready source of regeneration seed - and is the best means of expanding scrub communities. If seeding cannot occur, planting or layering may be needed to regenerate stands, especially for rare species and communities. The presence of high density of grazing or browsing animals, domestic or wild, is likely to limit scrub establishment and grazing pressure would need to be reduced by either reducing livestock densities, fencing or tree guards.",The Scrub Management Handbook: Guidance on the management of scrub on nature conservation sites. ,https://publications.naturalengland.org.uk/publication/72031
Management,Manage in a positive way for native species,Scrub,All,Improve the quality and maintain scrub communities,"Allow some browsign or grazing to create or maintain structural mosaics, but excessive or insufficient grazing pressure can damage the interest.Coppicing, cutting the scrub to encourage regeneration from the stump maintains and enhances the scrub stand. Thinning or selective removal of individual stems or shrubs, reduces the density of scrub stands, creates dappled light conditions and with regeneration in the gaps creates a fine-scale structural diversity, Mowing is an alternative to browsing or burning. Periodic use of controlled burning on flammable scrub species, creates and maintains mosaics of open habitat with scrub. The interface between scrub and other habitats is important, a diverse long interface provides shelter and a variety of aspects, optimising microhabitat provision, interfaces can be maintained using grazing, mowing or flails. Decaying wood is important for invertebrates and fungi, standing dead wood and can be created by ring barking, a proportion of retained logs or tightly stacked brash may be beneficial. As a component of the structural mosaic of scrub stands, bare earth is important for invertebrates and pioneer plants, it can be created and maintained during scrub management.",The Scrub Management Handbook: Guidance on the management of scrub on nature conservation sites. ,https://publications.naturalengland.org.uk/publication/72031
Restoration,Identify opportunities to restore habitats ,"Peatland, Grassland",All,Reduce the extent of scrub,"Water level management, inundating stanking scrub kills some species. Weeding, by hand pulling seedlings is slow but prevents unwanted scrub from establishing and is more cost effective and less disruptive than removing shrubs when they have grown bigger. Cutting operations will require follow up treatment to prevent re-growth from stumps. A large volunteer labour resource is effectie with light tools, mechanised cutting with chainsaws or clearing saws suits larger stands. Manual stump removal is slow, grinders will destroy stumps in situ with minimal soil disturbance. Diggers provide a faster work rate and can be used on larger root plates but will produce more ground disturbance and materials for disposal.",The Scrub Management Handbook: Guidance on the management of scrub on nature conservation sites. ,https://publications.naturalengland.org.uk/publication/72031
Restoration,Identify opportunities to restore habitats ,"Peatland, Grassland",All,Eradicating scrub,"Cutting off at ground will be needed for well-grown stands, all cutting will require follow-up treatment to prevent re-growth from the stump or seeds. Stump removal can be manual or use grinders. Grubbing out using 30 excavators or bulldozers - can be cost effectively cleared mechanically. ",The Scrub Management Handbook: Guidance on the management of scrub on nature conservation sites. ,https://publications.naturalengland.org.uk/publication/72031
Management,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",Waterbodies,Reptiles & Amphibians,Manage scrub in proximity to ponds and other water features.,"Encroachment of scrub around ponds is likely to limit their value for a range of amphibians.However, maintaining pioneer scrub with a diverse structure near ponds and on other habtiats can benefit both amphibians and reptiles as it provides shelter and a rich source of invertebrate food.",The Scrub Management Handbook: Guidance on the management of scrub on nature conservation sites. ,https://publications.naturalengland.org.uk/publication/72031
Management,Manage in a positive way for native species,Grassland,Bats,"Maintain a 50 m buffer from habitat features (hedgerows, treelines, etc.)",50 m buffer from habitat features is often a planning requirement but this buffer should be maintained at throughout the operational life of the windfarm,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,Woodland,Bats,Maintain a 200 m buffer around semi-natural woodlands.,200 m buffer from habitat features is often a planning requirement but this buffer should be maintained at throughout the operational life of the windfarm,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,Waterbodies,Bats,Maintain a 200 m buffer around semi-natural woodlands.,200 m buffer from habitat features is often a planning requirement but this buffer should be maintained at throughout the operational life of the windfarm,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,Plantation forestry,Bats,Maintain a 100 m buffer between the turbines and the edge of the forestry.,100 m buffer from commercial forestry edge is often a planning requirement but this buffer should be maintained at throughout the operational life of the windfarm,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,All,Bats,Feather the turbine blades,The turbine blades are pitched at 90 degrees or parallel to the wind to reduce their rotation speed while idling to below two revolutions per minute. ,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,All,Bats,Curtail the turbines,"Curtailment involves raising the cut-in speed of wind turbines and feathering the blades to reducetheir operation during periods of high bat activity. Curtailment can be applied as a blanket aproach during certain times of the year when bats are most active (usually April to October) or it can be linked to real time data, e.g., temperature and wind speed, gathered on site and programmed using the SCADA operating system of wind turbines. ","NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Management,Manage in a positive way for native species,All,Bats,Use post-construction monitoring,Post construction monitoring should be carried out on all sites where a curtailment regime has been implemented. Where post construction monitoring is recommended it should be detailed in a Bat Monitoring and Mitigation Plan (BMMP) which should be submitted for assessment and agreed before any planning approval is granted. Post construction monitoring should last for a period of 3-5 years depending on the risk level of the site but should also be subject to review.,"NIEA - Guidance on Bat Surveys, Assessment & Mitigation for Onshore Wind Turbine Developments",https://cieem.net/wp-content/uploads/2021/08/NIEA-Guidance-on-Bat-Surveys-for-Wind-Turbine-Proposals-Final-August-1....pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Convert commercial forest on peat soils to bog,"Remove trees by enhanced felling (removing the whole tree). Brash removal is then conducted to limit nutrient input. Reprofile the site, most commonly done by 'cross track' - where a low pressure trached vehicle(s) is driven over the ridges to flatten them into furrows. Tree stumps will also need to be delt with - stump flipping is commonly used on former Sitka spruce plantations on deeper peat deposits, where an excavator is used to flip the stump and root plate out of the ridge and into the furrow. On shallower peats and former lodgepole pine plantations stump auguring can be used, which drills the stump into smaller pieces. ","IUCN Peatland Programme: Forest to bog restoration, demonstrating success.",https://www.iucn-uk-peatlandprogramme.org/sites/default/files/2024-02/Demonstrating%20Success%20Forest%20to%20Bog_1.pdf
Restoration,Restore and rehabilitate peatland habitats,Peatland,All,Post-restoration management - remove conifer seedlings,Remove conifer seedlings,"IUCN Peatland Programme: Forest to bog restoration, demonstrating success.",https://www.iucn-uk-peatlandprogramme.org/sites/default/files/2024-02/Demonstrating%20Success%20Forest%20to%20Bog_1.pdf
