Count,Action_Type,BAP_Type,County_Area_Organisation,BAP,Action,Action type,Notes,Relevant,Sites
223,Biodiversity monitoring/Citizen science,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,"Conduct FIT Counts and involve children, students & the public",Involve citizen scientists in monitoring of habitats/species,Obj.2,*,All
224,Citizen science,Local Area,"Tullow, Carlow",Tullow Community Biodiversity Action Plan 2023-2028,Participate in annual Citizen Science projects,"Promote initiatives that involve citizen science, especially involving the local community",Obj.2,*,All
225,Biodiversity awareness (internal),Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Strengthen linkages with statutory bodies and others,"Ensure biodiversity it incorporated into all aspects of work, including landowners ",,*,CA; RI
226,Biodiversity awareness (external),Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Strengthen community enagement,Work with the local community to promote biodiversity projects on site and within the local area,,*,CA; RI
227,Citizen science,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Encourage people in the project area to participate in citizen science initiatives,"Promote initiatives that involve citizen science, especially involving the local community",,*,CA; RI
228,Biodiversity awareness (external),Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Organise talks and walks,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,CA; RI
229,Invasive species,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Intensify efforts to eradicate invasive alien weeds like the three-cornered Garlic,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,CA; RI
230,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Establish rainwater gardens,Implement nature-based solutions around the site,,*,All
231,Habitat creation,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Leave space for natural colonisation,Create pockets of new habitat throughout the site,FL8 habitat,*,All
232,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Manage lawns as mini-meadows,Manage areas in a pollinator-friendly manner and report to the AIPP,GA2 habitat,*,All
233,Habitat creation,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Provide more log and wood piles,Create pockets of new habitat throughout the site,WD2 habitat,*,All
234,Habitat creation,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Establish a nettle bed,Create pockets of new habitat throughout the site,WD2 habitat,*,All
235,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Promote pollinator-friendly planting,Manage areas in a pollinator-friendly manner and report to the AIPP,WD2 habitat,*,All
236,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Plant more native hedgerow,Manage hedgerows in a biodiversity-friendly manner,WS1 habitat,*,All
237,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Weed to saplings in the pocket forest and plant ground cover,Manage in a biodiversity-friendly way - creating space for biodiversity,WS2 habitat,*,All
238,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Allow bareground to colonise naturally,Manage in a biodiversity-friendly way - creating space for biodiversity,"ED2, ED3, ED5 habitat",*,All
239,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Continue to promote the planting of pollinator-friendly species,Manage areas in a pollinator-friendly manner and report to the AIPP,"BC2, BC3, BC4, BL3",*,All
240,Management ,Local Area,"Rosslare Harbour, Wexford",Rosslare Harbour/Kilrane Community Biodiversity Action Plan and Project 2024-2029,Manage the sand dune more actively ,Manage in a biodiversity-friendly way - creating space for biodiversity,"CD1, CD2, CD3, CD4",*,CA
241,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Develop a plan for managing natural habitats in the plot of ground between…for potential use as a 'Wild Place',Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
242,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Introduce chemical free and pollinator friendly landscape management practices in the park and the 'well walk',Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
243,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Maintain and/or restore the natural integrity of linear water features and adjacent wetland such as the pond near the new Stryker and Tubbottstown water reservoir. ,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
244,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Introduce measures to enhance the lake for biodiversity,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
245,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Make a biodiversity feature of the river waterbody at Carrigtwohill Bridge,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
246,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,"Ensure wildlife, such as bats, are considered when designing new lighting in public and private areas",Manage in a positive way for native species,,*,All
247,Management ,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Explore the possibility of adapting current lighting features/operations in public and private areas better suited to bats,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
248,Biodiversity awareness (internal),Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Set up an 'Adopt a Hedgerow' initiative in the locality to preserve and/or enhance the biodiversity quality of hedgerows ,Promote engagement from all staff with biodiversity ,,*,All
249,Biodiversity awareness (internal),Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Set up an 'Adopt a Stone Wall' initiative in the locality to preserve and/or enhance the biodiversity quality of stone walls,Promote engagement from all staff with biodiversity ,,*,All
250,Invasive species,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Run education and awareness sessions about invasive species,Raise awareness of invasive species and keep up to date on updates from NBDC,,*,All
251,Invasive species,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Record and map stands of Japanese Knotweed in Carrigtwohill,Identify and map the locations of invasive species,,*,All
252,Invasive species,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Record and map stands of Winter Heliotrope in Carrigtwohill,Identify and map the locations of invasive species,,*,All
253,Invasive species,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Record and map infestations of Clematis vitabla in Carrigtwohill,Identify and map the locations of invasive species,,*,All
254,Restoration,Local Area,"Carrigtwohill, Cork",Wildwork Biodiversity Action Plan for Carrigtwohill,Explore converting exhausted quarries to sites managed for wildlife,Identify opportunities to restore habtiats ,,*,All
255,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Manage lawns as short flowering (4-6 week) meadow lawns,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
256,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Take part in 'No-mow May' and allow Dandelions to flower,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
257,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Include a range of plants that will ensure floral resources are available throughout the season,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
258,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Install one or more bird baths,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
259,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Install one or more bee baths,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
260,Habitat creation,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Create a small log or twig pile in a suitable sunny corner,Create pockets of new habitat throughout the site,,*,All
261,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Clean out bee hotels each year,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
262,Invasive species,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Be aware of invasive and potentially invasive plants and avoid adding them,Raise awareness of invasive species and keep up to date on updates from NBDC,,*,All
263,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,"Plant more perennials, particularly one's listed in Pollinator Friendly planting code",Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
264,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,"Work to minimise using herbicides, insecticides, fungicides and any other pesticides or chemicals where possible","Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",,*,All
265,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Use peat free compost in the garden,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
266,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Install a water butt to collect rainwater,Implement nature-based solutions around the site,,*,All
267,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Mulch around established plants to stop water evaporating,Implement nature-based solutions around the site,,*,All
268,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Let grass grow longer in dry spells to keep moisture in the soil,Implement nature-based solutions around the site,,*,All
269,Management ,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Add organic matter to the soil to improve structure and moisture retaining potential,Implement nature-based solutions around the site,,*,All
270,Biodiversity awareness (internal),Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Invite local wildlife experts to give talks/lead walks,Promote engagement from all staff with biodiversity ,,*,All
271,Biodiversity awareness (external),Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Liase with TidyTowns and Men's Shed to put on nature-based events,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
272,Biodiversity awareness (external),Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Put up signs letting residents and visitors know about the biodiversity action happening at Ard Carrig,Develop biodiversity signage on site to inform visitors of the biodiversity present,,*,All
273,Data management,Local Area,"Ard Carrig, Cork",Clann Ard Carrig Biodiverrsity Action Plan 2023-2028,Log actions for pollinators on the Actions for Pollinators website,Submit data to the National Biodiversity Data Centre and other relevant organisations,,*,All
274,Data management,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Submit bat records to Bat Conservation Ireland database and the NBDC database,Submit data to the National Biodiversity Data Centre and other relevant organisations,,*,All
275,Biodiversity awareness (internal),Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Upskill - take one or more of the elearning training courses provided by the NBDC on recording bees, butterflies and dragonflies",Provide training to staff on biodiversity & best practice,,*,All
276,Biodiversity awareness (external),Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Organise a fieldtrip, perhaps inviting the Wexford Naturalists Field Club to come show the Yola Community first hand how to identify certain species","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
277,Biodiversity monitoring,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Once comfortable with the species identification consider joining the butterfly and bee monitoring scheme,Establish monitoring for species/habitats that are under threat or keystone species,,*,All
278,Biodiversity awareness (internal),Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Consider wildlife photo competitions, number of records recorded leagues, etc. ",Promote engagement from all staff with biodiversity ,,*,All
279,Data management,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Submit species records to the NBDC,Submit data to the National Biodiversity Data Centre and other relevant organisations,,*,All
280,Habitat creation,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Consider design improvements, e.g., creating shelves to create carrying depths of water in the pond",Create/Improve pond habitats,,*,All
281,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Choose native aquatic and wetland plants to plant up the pond,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
282,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Be sure to purchase plants from a reputable supplier. Don't take plants from another pond due to risk of introducing aquatic invasive species,Manage in a positive way for native species,,*,All
283,Biodiversity monitoring,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Observe what plants seed themselves in the pond. ,Undertake surveys to identify habitats and species to understand what is on site,,*,All
284,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Do not plant Parrot's feather, or Canadian pondweed which are invasive",Develop a plan for monitoring and managing invasive species,,*,All
285,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Make a mowing map showing areas of grassland that need to be cut short for football. Path verges that can be allowed to grow longer and areas that are allowed to grow as meadow grassland,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,CA; RI; RA; TE
286,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Identify an area that can be maintained as a meadow. Cut annually in September, rake off and remove cuttings and make hay or compost. ",Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
287,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Additional pollinator friendly plants could be grown in pots in the yard. Choose plants from the Pollinator friendly planting code and/or other pollinator friendly plants. Make sure a range of plants that flower during different seasons are planted to provide food for pollinators throughout the year. ,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
288,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Avoid growing non-native plants inn the semi-natural habitats. Native plants are best for wildlife and introducing non-native plants brings a risk of non-natives spreading in these semi-natural habitats.,Manage in a positive way for native species,,*,All
289,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"When planting trees choose native species only. Willow, hazel, wild cherry, hawthorn and blackthorn are especially good for pollinators. ",Manage in a positive way for native species,,*,All
290,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Buy 2 year old bare rooted whips, 6 plants per m, maintly whitethorn but once every 2 m replace one with another hedging species that tolerates trimming such as blackthorn,  holly, hazel, spindle, guelder rose, dog rose, and woodbine. ",Manage hedgerows in a biodiversity-friendly manner,,*,All
291,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,After planting the whips should be pruned to an inch above the ground. The next year cut 30mm above the first cut and repeat yearly to allow the hedge to slowly grow up. Allows a hedge with a thick base to develop,Manage hedgerows in a biodiversity-friendly manner,,*,All
292,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Include some native trees interspersed along the new hedgerow and allow these to grow into mature, full height trees. Oak, birch, crab apple, elder and wild cherry are suitable",Manage hedgerows in a biodiversity-friendly manner,,*,All
293,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,"Always buy native trees grown in Ireland, not imported stock",Manage in a positive way for native species,,*,All
294,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,When established maintain this hedgerow at least 1.5-2m high. Cut back once every 2-3 years to allow the hedgerow to flower.,Manage hedgerows in a biodiversity-friendly manner,,*,All
295,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,With advice from an ecologist devise a management plan for three-cornered garlic preferably without the use of herbicides,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
296,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Dig out corms of montbretia and the surrounding soil,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
297,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Sieve to remove corms of montbretia,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
298,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,soil  to a depth of 500 mm beneath the invasive plant stand must be disposed of and removed to a licensed landfill facility,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
299,Invasive species,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Soil  to a depth of 500 mm beneath the invasive plant stand must be disposed of and removed to a licensed landfill facility,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
300,Management ,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Protect and manage this bumblebee nesting habitat senstively. Avoid cutting or strimming during the summer. Cut in late Autumn/Winter instead,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
301,Habitat creation,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Create an earth bank for mining bee nesting habitat with a south/east facing aspect,Create nesting or food resources for pollinators/invertebrates,,*,All
302,Habitat creation,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Drill south or easy facing holes in fence posts around the farm,Create nesting or food resources for pollinators/invertebrates,,*,All
303,Habitat creation,Local Area,"Yola Farmstead, Wexford",Yola Farmstead Community Biodiversity Action Plan 2023-2030,Provide nest sites for cavity nesting bees. Partner with the Men's shed to make bee boxes for cavity nesting bees. Erect these on buildings and walls around te club that have a sunny south or east facing aspect,Create nesting or food resources for pollinators/invertebrates,,*,All
304,Biodiversity awareness (external),Local Area,"Ardrahan, Galway",Ardrahan Area Biodiversity Plan 2021-2026,"School visits/biodiversity presentation & activities (e.g., build a bug hotel)","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
305,Biodiversity awareness (external),Local Area,"Ardrahan, Galway",Ardrahan Area Biodiversity Plan 2021-2026,Talks and walks,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
306,Management ,Local Area,"Ardrahan, Galway",Ardrahan Area Biodiversity Plan 2021-2026,Reduce/cease laying poison and sparying of chemicals,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",,*,All
307,Management ,Local Area,"Ardrahan, Galway",Ardrahan Area Biodiversity Plan 2021-2026,Hedgerow audit with a view to planting more native hedgerows,Manage hedgerows in a biodiversity-friendly manner,,*,All
308,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Identify all drainage/discharge inputs into the river and look to mitigate or remove if possible,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
309,Biodiversity monitoring/Citizen science,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,"Continue to work with local groups, stakeholders and organisation to continue to improve the river quality and habitat",Involve citizen scientists in monitoring of habitats/species,,*,All
310,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Invasive plant removal - removal of invasive Clematis Vitalba (Old man's beard) along the river,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
311,Restoration,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Work with inland fisheries Ireland and local stakeholder to determine if habitat improvement works are possible,Restore and improve wetland and waterbody habitats,,*,All
312,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Create an annual event to clean the rivers of any rubbish,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",,*,All
313,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Look to create or expand hedgerows to support feeding corridors,Manage hedgerows in a biodiversity-friendly manner,,*,All
314,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Work with Galway County Council to look at making swift boxes compulsory on all new multistorey buildings ,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,CL; AD
315,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Removal to winter heliotrope and other non-native species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
316,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Addition of yellow rattle seed to fast track the native meadow process,Manage in a biodiversity-friendly way - creating space for biodiversity,,*,All
317,Habitat creation,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Look at the possibility of creating a pond or water source within the park,Create/Improve pond habitats,,*,All
318,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Planting native tree species,Manage in a positive way for native species,,*,All
319,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Removal of non-native species within the woodland,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
320,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Continue to educate local people to identify invasive species and increase the level of recording with National Biodiversity Data Centre,Raise awareness of invasive species and keep up to date on updates from NBDC,,*,All
321,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Work with Galway County Council to remove target species that require specialist control and eradication methods,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
322,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Removal of old mans beard and winter heliotrope at Oranbeg River Bridge and along An Trinse Mor,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
323,Invasive species,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Removal of winter heliotrope at Beechgrove,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",,*,All
324,Biodiversity awareness (external),Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Work with all local schools to help them promote biodiversity within the schools providing support and funding schemes,Implement an education programme with local schools,,*,All
325,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Look to add more native wildflower meadows (including ongoing yearly maintenance plan),Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
326,Biodiversity awareness (external),Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Celebrate Natural Heritage Week by supporting walks and talks organised by the local heritage group and collaborate with them where possible,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
327,Management ,Local Area,"Oranmore, Galway",Oranmore Biodiversity Action Plan 2024-2030,Continue to plant pollinator friendly plants and shrubs,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
328,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Planting of native woodland within the site boundary,Manage in a positive way for native species,Following recommendations of the native woodland scheme,*,All
329,Restoration,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,"Where shallow peat occurs along the infrastructure footprint and subpeat material comprises calcareous mixed gravels and till such substrate will be used during the site reinstatement, along the infrastructure corridor",Restore and rehabilitate peatland habitats,Butterfly/Pollinator habitat - Construction,*,AD; CL; ME; MO
330,Restoration,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Revegetation along the construction corridor will be faciltated through the establishment of semi-natural grassland along the infrastructure corridor using a wildflower pollinator-friendly seed mix and/or by using 'Green Hay' in combination with fertiliser and/or lime and a nursery crop as required,Identify opportunities to restore habtiats ,Butterfly/Pollinator habitat - Construction,*,All
331,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,"Management (e.g., mowing) should not be uniform",Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
332,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,"Where tree/scrub removal is required to facilitate the proposed turbines, a minimum 50m buffer from the blade tip to the nearest woodland shall be implemented",Manage in a biodiversity-friendly way - creating space for biodiversity,Constuction,*,All
333,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Vegetation-free buffer areas will be maintained during the operational life of the development to minimise the collision risk for bat species present at the proposed development site,Manage in a biodiversity-friendly way - creating space for biodiversity,Operation,*,All
334,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Dog control management on all signage,Manage in a biodiversity-friendly way - creating space for biodiversity,for public areas,*,All
335,Biodiversity awareness (external),Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Educational signage on local biodiversity along paths,Develop biodiversity signage on site to inform visitors of the biodiversity present,for public areas,*,All
336,Management ,Organisational,Bord na Mona/MKO,Derrinlough Windfarm HMP,Removal of scrub and establishment of a mosaic of semi-natural grassland and poor fen mosaic on wet grassland habitat for breeding lapwing,Manage in a biodiversity-friendly way - creating space for biodiversity,Breeding lapwing - operational,*,All
337,Management ,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Drain blocking of historically drained peatland or actively eroding deep peat with only limited vegetation cover using peat damns or plastic sheet piling,Manage in a biodiversity-friendly way - creating space for biodiversity,Remenant blanket bog restoration and enhancement,*,AD; CL; ME; MO
338,Restoration,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Targeted application of fertiliser (rock phosphate) would aim to promote the expedition of revegetation on former cutaway blanket bog,Restore and rehabilitate peatland habitats,Remenant blanket bog restoration and enhancement,*,AD; CL; ME; MO
339,Management ,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Cut & remove self-seeded lodge pole pines and enact a 5 year monitoring regime ,Manage in a biodiversity-friendly way - creating space for biodiversity,Maintain open peatland,*,AD; CL; ME; MO
340,Habitat creation,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Reinstated burrow pits with gravel pits and standing water will be kept scrub and tree free to keep the area open and suitable for ground nesting species,Create/Improve pond habitats,Operation,*,AD; CL; ME; MO
